"image","afraid","angry","delighted","disgusted","happy","joyful","nervous","prideful","sad","scared","surprised","threatened"
"b2",3,2,1,1,1,1,4,1,4,4,1,2
"b2",1,1,1,1,1,1,2,1,5,1,1,1
"b2",1,1,4,1,4,3,1,4,3,1,3,1
"b2",1,2,1,1,1,1,2,1,2,2,2,2
"b2",1,1,1,1,1,1,1,1,4,1,1,1
"b2",1,1,1,1,1,1,1,1,5,1,1,1
"b2",1,1,2,1,2,3,3,1,2,3,1,1
"b2",2,1,4,1,3,3,4,2,2,2,3,1
"b3",1,1,1,1,1,1,1,1,1,1,1,1
"b3",2,3,3,2,4,3,4,3,4,3,3,3
"b3",2,1,1,1,1,1,3,1,1,1,1,3
"b3",1,1,2,3,3,2,2,2,2,1,4,1
"b3",4,3,1,4,1,1,3,1,3,3,3,3
"b3",2,2,1,2,1,1,2,1,2,2,3,2
"b3",3,4,1,3,1,1,4,1,4,2,2,1
"b3",3,1,1,3,1,2,4,1,1,3,4,2
"b3",2,1,1,1,1,1,3,1,4,3,1,3
"b3",4,3,1,3,1,1,3,1,5,4,2,5
"b3",4,3,3,1,1,3,5,3,3,5,3,2
"b3",1,1,1,1,1,1,1,1,1,1,1,1
"b3",1,1,4,1,3,4,1,3,1,1,1,1
"b3",1,1,1,1,1,1,1,1,1,1,1,1
"b3",1,1,4,1,4,4,1,2,1,1,1,1
"b3",3,3,3,3,3,3,3,3,3,3,3,3
"b3",2,1,1,1,1,1,2,2,2,1,2,2
"b3",5,4,1,1,1,1,4,1,5,5,1,5
"b3",3,2,1,2,2,1,2,1,3,2,2,3
"b3",2,2,2,2,2,1,2,1,2,2,3,1
"b4",3,4,3,4,1,1,2,2,3,3,3,2
"b4",2,4,1,2,1,1,3,1,4,2,1,2
"b4",1,1,1,1,1,1,1,1,1,1,1,1
"b4",2,4,1,1,1,1,3,1,4,4,2,1
"b4",4,3,1,3,1,1,5,1,4,5,3,4
"b4",4,2,1,1,1,1,4,1,5,4,1,5
"b4",3,4,1,4,1,1,3,1,4,3,4,2
"b4",3,5,1,2,1,1,1,1,3,2,3,5
"b4",4,4,1,4,1,1,5,1,4,3,4,2
"b4",2,3,1,2,1,1,2,1,4,2,1,3
"b4",4,3,3,2,2,1,4,1,2,4,3,3
"b4",1,1,1,1,1,1,1,1,4,1,1,1
"b4",1,2,2,1,1,1,2,1,4,3,1,2
"b4",1,1,1,1,1,1,1,1,1,1,1,1
"b4",2,2,1,2,1,1,2,1,3,1,2,2
"b4",3,3,1,2,1,1,4,2,5,4,3,3
"b4",5,5,1,5,1,1,5,1,5,5,4,3
"b4",2,2,1,1,1,1,4,1,4,4,1,3
"b4",1,3,1,1,1,1,1,1,4,1,1,1
"b4",1,2,1,1,1,1,1,1,2,1,1,1
"c1",4,2,1,3,1,1,3,1,1,4,1,4
"c1",5,4,1,4,1,1,5,1,5,5,3,5
"c1",4,2,1,2,1,1,4,1,1,5,2,4
"c1",4,2,2,3,3,3,3,4,3,4,3,4
"c1",3,2,1,2,1,1,4,1,3,4,2,4
"c1",4,3,1,4,1,1,4,1,5,5,4,5
"c1",5,4,1,1,1,1,5,1,5,5,1,5
"c1",1,3,1,2,1,3,1,3,3,1,1,4
"c1",4,3,1,3,1,1,4,1,3,5,3,4
"c1",4,3,1,3,1,1,4,3,4,5,4,5
"c1",4,5,1,5,1,1,4,1,1,4,2,5
"c1",4,3,1,5,1,1,4,1,1,4,2,5
"c1",5,5,1,5,1,1,5,1,5,5,4,5
"c1",5,5,1,5,1,1,5,1,3,5,3,5
"c1",4,3,1,4,1,1,5,1,2,4,4,1
"c1",5,5,1,5,1,1,5,1,5,5,4,5
"c1",5,5,1,4,1,1,4,1,4,5,4,5
"c1",1,2,1,2,1,2,4,2,3,4,3,3
"c1",2,5,1,4,1,1,3,1,1,3,1,5
"c1",2,5,1,4,1,1,2,1,1,3,1,5
"c2",1,2,1,1,1,1,1,1,3,2,4,1
"c2",5,2,1,2,1,1,4,1,1,5,2,3
"c2",1,1,1,1,1,1,1,1,1,1,1,1
"c2",5,5,1,5,1,1,5,1,4,5,1,5
"c2",3,4,1,2,1,1,1,1,1,2,1,1
"c2",4,1,1,2,1,1,4,1,1,4,4,4
"c2",3,3,1,3,2,1,3,1,3,3,3,3
"c2",2,3,1,2,1,1,2,1,5,3,2,5
"c2",3,4,1,2,1,1,5,1,3,1,2,2
"c2",4,4,1,4,1,1,4,1,4,4,3,4
"c2",4,3,1,3,4,1,5,1,3,5,5,5
"c2",1,1,1,1,1,1,1,1,1,1,3,1
"c2",1,2,1,2,1,1,2,1,2,5,2,2
"c2",4,2,1,3,1,1,4,3,3,4,3,4
"c2",2,1,1,1,1,1,2,1,1,2,3,2
"c2",4,4,1,4,1,1,5,2,5,4,2,4
"c2",3,2,1,2,1,1,4,1,2,4,3,4
"c2",3,4,1,3,1,1,4,2,2,2,1,4
"c2",2,1,1,2,1,1,1,1,1,1,4,3
"c2",1,2,1,1,1,1,1,1,1,1,1,1
"c3",3,1,1,1,1,1,3,1,1,3,1,3
"c3",5,3,1,2,1,1,4,1,5,5,2,5
"c3",4,2,1,2,1,1,4,1,1,2,1,5
"c3",4,3,4,4,1,3,4,4,4,5,3,5
"c3",4,2,1,2,1,1,2,2,4,2,3,5
"c3",4,3,2,5,1,1,4,1,5,5,4,5
"c3",5,5,1,1,1,1,5,1,5,5,1,5
"c3",3,3,2,1,1,1,1,4,1,3,1,5
"c3",5,3,1,4,1,1,4,1,5,5,4,5
"c3",2,3,1,2,2,1,2,1,1,2,3,2
"c3",5,5,1,5,1,1,5,2,2,5,2,5
"c3",4,3,1,5,1,1,4,1,1,4,2,4
"c3",5,5,1,5,1,1,5,1,5,5,4,5
"c3",5,5,1,5,1,1,5,1,3,5,3,5
"c3",5,5,1,5,1,1,5,1,2,5,4,5
"c3",5,5,1,5,1,1,4,1,4,5,4,5
"c3",5,4,1,5,1,1,5,1,4,5,1,5
"c3",5,3,1,3,1,1,5,1,3,5,4,5
"c3",5,4,1,5,1,1,5,3,2,5,2,5
"c3",2,3,1,2,1,1,2,1,2,2,1,4
"c4",1,1,1,1,1,1,1,1,1,1,1,1
"c4",3,3,1,3,1,1,3,1,3,3,3,3
"c4",4,4,3,4,1,1,5,1,3,4,5,4
"c4",1,4,1,4,1,1,4,4,3,3,1,4
"c4",2,2,3,3,3,3,3,3,4,4,3,4
"c4",4,2,1,2,1,1,5,1,1,4,1,4
"c4",3,1,1,1,1,1,3,1,1,3,3,3
"c4",2,2,1,1,1,1,1,4,1,1,2,1
"c4",5,1,1,1,1,1,1,1,3,5,2,1
"c4",1,1,1,1,1,1,1,1,3,1,1,1
"c4",2,3,1,4,1,1,4,1,4,2,2,3
"c4",3,4,1,3,1,1,3,1,1,3,1,4
"c4",5,1,1,5,1,1,4,1,4,5,1,5
"c4",2,5,1,5,1,1,3,2,3,1,1,5
"c4",2,2,1,2,1,1,3,1,2,2,1,4
"c4",3,3,1,1,3,1,1,1,2,1,1,3
"c4",1,1,1,1,1,1,1,1,1,1,4,1
"c4",2,1,1,5,1,1,2,2,2,2,1,5
"c4",3,2,1,2,1,1,2,2,2,2,4,3
"c4",4,4,1,4,1,1,3,1,2,4,3,4
"d1",1,1,1,1,1,1,1,1,1,1,1,1
"d1",4,1,1,1,1,1,2,1,1,4,1,3
"d1",3,1,1,1,1,1,3,1,1,3,3,3
"d1",4,3,3,4,3,3,4,2,3,3,4,4
"d1",2,2,1,2,1,2,1,2,2,2,2,2
"d1",2,1,1,2,1,1,2,1,1,2,3,1
"d1",3,2,1,1,1,1,4,1,3,4,1,4
"d1",1,1,3,1,4,4,2,4,1,1,1,1
"d1",4,3,1,3,1,1,4,1,3,4,3,4
"d1",2,3,1,3,2,1,2,3,3,1,3,3
"d1",3,4,1,4,1,1,4,1,1,3,2,3
"d1",2,1,1,3,1,1,2,1,1,2,2,2
"d1",2,1,1,2,1,1,2,1,1,2,4,2
"d1",1,1,1,2,1,1,1,1,1,1,1,1
"d1",2,1,1,2,1,1,4,1,1,2,4,2
"d1",3,3,1,3,1,1,2,1,2,2,2,3
"d1",2,3,1,2,2,1,2,1,1,2,2,3
"d1",3,1,1,2,1,1,3,1,2,3,2,3
"d1",4,4,1,5,1,1,4,1,2,4,2,2
"d1",1,2,1,2,1,1,1,1,1,1,1,3
"d2",2,3,2,1,2,2,2,3,4,1,3,1
"d2",4,2,1,2,1,1,4,1,2,4,2,4
"d2",1,1,1,1,1,1,1,1,1,1,1,1
"d2",2,4,1,4,1,1,3,1,3,4,5,2
"d2",4,3,1,4,1,1,4,1,3,5,4,2
"d2",3,1,1,1,1,1,1,1,4,3,1,3
"d2",2,1,3,2,3,3,3,3,2,3,2,2
"d2",2,3,1,2,1,1,2,1,3,2,1,5
"d2",2,4,1,2,1,1,3,1,4,2,3,2
"d2",4,4,1,4,1,1,5,1,4,4,4,5
"d2",2,2,1,2,1,1,2,1,4,2,1,2
"d2",2,1,1,1,1,1,3,1,1,1,1,2
"d2",3,1,3,1,3,2,1,2,1,1,1,1
"d2",3,1,1,1,1,1,3,1,1,3,1,3
"d2",2,1,1,1,1,1,2,1,1,2,1,2
"d2",2,3,1,4,2,1,2,1,2,4,1,4
"d2",3,2,1,2,1,1,3,1,2,3,3,3
"d2",1,2,1,2,1,1,3,3,3,2,1,3
"d2",1,3,1,4,1,1,1,1,1,1,1,3
"d2",1,1,1,1,1,1,1,1,1,1,2,1
"d3",1,1,1,1,1,1,1,1,1,1,1,1
"d3",2,3,2,3,2,3,3,3,3,2,3,3
"d3",1,1,2,1,2,2,1,3,1,1,1,1
"d3",3,2,2,3,2,3,1,2,3,2,3,3
"d3",1,1,2,1,2,2,1,2,1,1,3,1
"d3",1,1,1,1,1,1,1,1,1,1,5,1
"d3",3,1,1,1,1,1,1,1,1,1,4,1
"d3",1,1,1,1,1,4,1,1,1,1,1,1
"d3",2,1,3,1,2,2,2,1,1,2,2,2
"d3",1,1,1,1,3,3,1,4,1,1,1,1
"d3",2,1,2,1,2,2,1,2,1,2,1,1
"d3",1,1,2,1,1,1,1,1,1,1,1,1
"d3",1,1,1,1,1,2,1,1,1,1,1,1
"d3",1,1,3,2,3,3,2,1,1,2,1,1
"d3",1,1,1,1,2,2,1,2,1,1,1,1
"d3",1,1,1,2,1,1,1,4,1,1,1,1
"d3",1,1,1,1,2,1,1,1,1,1,1,1
"d3",1,1,1,1,3,1,1,1,1,1,1,1
"d3",1,1,1,1,3,1,1,1,1,1,1,1
"d3",1,1,2,1,2,2,1,2,1,1,2,1
"d4",1,1,1,1,1,1,1,1,1,1,1,1
"d4",3,2,2,3,3,3,3,4,3,4,3,4
"d4",1,1,1,1,1,1,1,3,1,1,1,1
"d4",1,1,1,1,3,3,2,3,2,1,4,1
"d4",1,1,1,1,1,1,1,2,1,1,5,1
"d4",1,2,1,2,1,1,3,1,1,2,2,2
"d4",1,1,1,1,3,3,1,1,1,1,4,1
"d4",1,1,1,3,1,2,1,1,1,1,1,1
"d4",1,1,1,1,1,1,1,1,1,1,1,1
"d4",3,1,1,1,2,1,1,4,1,1,1,1
"d4",1,1,3,1,5,4,1,1,1,1,4,1
"d4",1,1,2,1,1,1,1,1,1,1,1,1
"d4",1,1,2,1,2,2,1,2,1,1,1,1
"d4",1,1,2,1,2,2,1,3,1,1,1,1
"d4",1,1,1,1,1,1,1,3,1,1,1,1
"d4",1,1,1,1,3,2,1,2,1,1,1,1
"d4",1,1,3,1,3,2,1,1,3,1,1,1
"d4",2,2,1,1,1,1,2,1,1,2,1,3
"d4",2,1,1,1,1,1,2,1,1,1,1,1
