"Source","Target"
"102803242","114865774"
"102803242","1170012108"
"102803242","122517396"
"102803242","1265031758"
"102803242","135959346"
"102803242","15780295"
"102803242","193919217"
"102803242","19809471"
"102803242","198643896"
"102803242","219145686"
"102803242","224032752"
"102803242","2254131619"
"102803242","2275081693"
"102803242","22803482"
"102803242","2467791"
"102803242","28450231"
"102803242","290184477"
"102803242","2977869463"
"102803242","3167176103"
"102803242","3302619878"
"102803242","338065113"
"102803242","380523278"
"102803242","39372927"
"102803242","405108328"
"102803242","4805048978"
"102803242","48117919"
"102803242","491864203"
"102803242","510646300"
"102803242","52123405"
"102803242","71074656"
"102803242","839235646921199616"
"102803242","950492939054022656"
"1032744313044664320","102803242"
"1032744313044664320","114865774"
"1032744313044664320","122517396"
"1032744313044664320","135959346"
"1032744313044664320","15780295"
"1032744313044664320","19809471"
"1032744313044664320","198643896"
"1032744313044664320","22803482"
"1032744313044664320","28450231"
"1032744313044664320","290184477"
"1032744313044664320","39372927"
"1032744313044664320","48117919"
"1032744313044664320","71074656"
"1032744313044664320","846427416473944064"
"112448318","116630713"
"112448318","119679411"
"112448318","119682506"
"112448318","135469780"
"112448318","17187138"
"112448318","1852171094"
"112448318","186894716"
"112448318","249341385"
"112448318","262846232"
"112448318","4515151"
"112448318","509631832"
"112448318","7459282"
"112448318","838396926"
"112448318","960353869"
"114865774","102803242"
"114865774","1032744313044664320"
"114865774","116630713"
"114865774","122517396"
"114865774","1265031758"
"114865774","1268264195570589696"
"114865774","135959346"
"114865774","15754281"
"114865774","15780295"
"114865774","1926061039"
"114865774","193919217"
"114865774","19418459"
"114865774","19809471"
"114865774","198643896"
"114865774","219145686"
"114865774","2254131619"
"114865774","22803482"
"114865774","2467791"
"114865774","28450231"
"114865774","290184477"
"114865774","2977869463"
"114865774","3167176103"
"114865774","3302619878"
"114865774","338065113"
"114865774","380523278"
"114865774","39372927"
"114865774","400391325"
"114865774","405108328"
"114865774","48117919"
"114865774","491864203"
"114865774","508164075"
"114865774","510646300"
"114865774","51241574"
"114865774","52123405"
"114865774","71074656"
"114865774","826285384262774784"
"114865774","839235646921199616"
"114865774","846427416473944064"
"114865774","905416143313219584"
"114865774","917551703578238976"
"1154264445117325312","116630713"
"1154264445117325312","1179203722540273664"
"1154264445117325312","1304501724"
"1154264445117325312","15731032"
"1154264445117325312","1606508916"
"1154264445117325312","165785792"
"1154264445117325312","17187138"
"1154264445117325312","1926061039"
"1154264445117325312","218717865"
"1154264445117325312","2987415637"
"1154264445117325312","3070271977"
"1154264445117325312","31354463"
"1154264445117325312","3378514300"
"1154264445117325312","400089150"
"1154264445117325312","4515151"
"1154264445117325312","838396926"
"1154264445117325312","917551703578238976"
"1154264445117325312","923006765129613312"
"1154264445117325312","979864728737538048"
"116630713","135469780"
"116630713","1852171094"
"116630713","186894716"
"116630713","2303751216"
"116630713","2467791"
"116630713","249341385"
"116630713","262846232"
"116630713","960353869"
"1170012108","114865774"
"1170012108","122517396"
"1170012108","1265031758"
"1170012108","135959346"
"1170012108","15754281"
"1170012108","15780295"
"1170012108","193919217"
"1170012108","19809471"
"1170012108","20791157"
"1170012108","2467791"
"1170012108","28450231"
"1170012108","290184477"
"1170012108","3167176103"
"1170012108","380523278"
"1170012108","405108328"
"1170012108","4805048978"
"1170012108","48117919"
"1170012108","510646300"
"1170012108","51241574"
"1170012108","71074656"
"1170012108","846427416473944064"
"1170012108","902957518585921536"
"1170012108","950492939054022656"
"1179203722540273664","112448318"
"1179203722540273664","1154264445117325312"
"1179203722540273664","116630713"
"1179203722540273664","1197448035380318208"
"1179203722540273664","122517396"
"1179203722540273664","1304501724"
"1179203722540273664","1346564900160585728"
"1179203722540273664","135959346"
"1179203722540273664","15731032"
"1179203722540273664","165785792"
"1179203722540273664","17187138"
"1179203722540273664","186894716"
"1179203722540273664","1926061039"
"1179203722540273664","196345500"
"1179203722540273664","19809471"
"1179203722540273664","218717865"
"1179203722540273664","2303751216"
"1179203722540273664","25999985"
"1179203722540273664","27298118"
"1179203722540273664","2987415637"
"1179203722540273664","3070271977"
"1179203722540273664","31354463"
"1179203722540273664","3270395184"
"1179203722540273664","3378514300"
"1179203722540273664","400089150"
"1179203722540273664","405108328"
"1179203722540273664","4457167754"
"1179203722540273664","4515151"
"1179203722540273664","510646300"
"1179203722540273664","593542087"
"1179203722540273664","69655048"
"1179203722540273664","7459282"
"1179203722540273664","748367306"
"1179203722540273664","826285384262774784"
"1179203722540273664","838396926"
"1179203722540273664","872858864215044096"
"1179203722540273664","887129268"
"1179203722540273664","917551703578238976"
"1179203722540273664","923006765129613312"
"1179203722540273664","979864728737538048"
"119679411","112448318"
"119679411","119682506"
"119679411","135469780"
"119679411","7459282"
"119682506","112448318"
"119682506","119679411"
"119682506","262846232"
"119682506","7459282"
"119682506","960353869"
"1197448035380318208","102803242"
"1197448035380318208","1179203722540273664"
"1197448035380318208","122517396"
"1197448035380318208","15780295"
"1197448035380318208","193919217"
"1197448035380318208","19809471"
"1197448035380318208","198643896"
"1197448035380318208","218717865"
"1197448035380318208","2254131619"
"1197448035380318208","27298118"
"1197448035380318208","290184477"
"1197448035380318208","3070271977"
"1197448035380318208","3167176103"
"1197448035380318208","380523278"
"1197448035380318208","405108328"
"1197448035380318208","4515151"
"1197448035380318208","4805048978"
"1197448035380318208","48117919"
"1197448035380318208","917551703578238976"
"122517396","102803242"
"122517396","1032744313044664320"
"122517396","114865774"
"122517396","116630713"
"122517396","1170012108"
"122517396","1179203722540273664"
"122517396","1197448035380318208"
"122517396","1265031758"
"122517396","1346564900160585728"
"122517396","135959346"
"122517396","15731032"
"122517396","15754281"
"122517396","15780295"
"122517396","165785792"
"122517396","17187138"
"122517396","1926061039"
"122517396","193919217"
"122517396","19418459"
"122517396","19809471"
"122517396","198643896"
"122517396","20791157"
"122517396","219145686"
"122517396","2254131619"
"122517396","2275081693"
"122517396","22803482"
"122517396","2303751216"
"122517396","23808627"
"122517396","23811264"
"122517396","2467791"
"122517396","25999985"
"122517396","27298118"
"122517396","28450231"
"122517396","290184477"
"122517396","2977869463"
"122517396","2987415637"
"122517396","30499450"
"122517396","31354463"
"122517396","3167176103"
"122517396","3180907718"
"122517396","3302619878"
"122517396","338065113"
"122517396","380523278"
"122517396","3807879852"
"122517396","38349184"
"122517396","39372927"
"122517396","400089150"
"122517396","405108328"
"122517396","409259089"
"122517396","4457167754"
"122517396","4515151"
"122517396","4805048978"
"122517396","48117919"
"122517396","48788647"
"122517396","491864203"
"122517396","508164075"
"122517396","510646300"
"122517396","51241574"
"122517396","52123405"
"122517396","71074656"
"122517396","826285384262774784"
"122517396","831967839581990912"
"122517396","838396926"
"122517396","839235646921199616"
"122517396","846427416473944064"
"122517396","902957518585921536"
"122517396","917551703578238976"
"122517396","950492939054022656"
"1265031758","102803242"
"1265031758","114865774"
"1265031758","1170012108"
"1265031758","122517396"
"1265031758","135959346"
"1265031758","15754281"
"1265031758","15780295"
"1265031758","193919217"
"1265031758","19809471"
"1265031758","198643896"
"1265031758","20791157"
"1265031758","219145686"
"1265031758","224032752"
"1265031758","2254131619"
"1265031758","22803482"
"1265031758","2467791"
"1265031758","27298118"
"1265031758","28450231"
"1265031758","290184477"
"1265031758","2977869463"
"1265031758","3167176103"
"1265031758","3180907718"
"1265031758","3302619878"
"1265031758","338065113"
"1265031758","380523278"
"1265031758","39372927"
"1265031758","405108328"
"1265031758","409259089"
"1265031758","48117919"
"1265031758","508164075"
"1265031758","510646300"
"1265031758","51241574"
"1265031758","52123405"
"1265031758","71074656"
"1265031758","846427416473944064"
"1265031758","902957518585921536"
"1265031758","950492939054022656"
"1268264195570589696","1606508916"
"1268264195570589696","917551703578238976"
"1304501724","1154264445117325312"
"1304501724","116630713"
"1304501724","15731032"
"1304501724","1606508916"
"1304501724","165785792"
"1304501724","1926061039"
"1304501724","193919217"
"1304501724","196345500"
"1304501724","218717865"
"1304501724","2303751216"
"1304501724","2420108113"
"1304501724","25999985"
"1304501724","2987415637"
"1304501724","3070271977"
"1304501724","31354463"
"1304501724","3270395184"
"1304501724","400089150"
"1304501724","405108328"
"1304501724","415786848"
"1304501724","4457167754"
"1304501724","4515151"
"1304501724","4805048978"
"1304501724","491864203"
"1304501724","509631832"
"1304501724","593542087"
"1304501724","69655048"
"1304501724","7459282"
"1304501724","748367306"
"1304501724","817200915065159681"
"1304501724","826285384262774784"
"1304501724","838396926"
"1304501724","872858864215044096"
"1304501724","887129268"
"1304501724","917551703578238976"
"1304501724","923006765129613312"
"1304501724","979864728737538048"
"1304501724","999807846920241153"
"1346564900160585728","1179203722540273664"
"1346564900160585728","122517396"
"1346564900160585728","15731032"
"1346564900160585728","17187138"
"1346564900160585728","19809471"
"1346564900160585728","31354463"
"1346564900160585728","826285384262774784"
"135469780","112448318"
"135469780","186894716"
"135469780","262846232"
"135469780","7459282"
"135959346","102803242"
"135959346","1032744313044664320"
"135959346","114865774"
"135959346","122517396"
"135959346","1265031758"
"135959346","15579774"
"135959346","15780295"
"135959346","193919217"
"135959346","19809471"
"135959346","198643896"
"135959346","219145686"
"135959346","2254131619"
"135959346","22803482"
"135959346","27298118"
"135959346","28450231"
"135959346","290184477"
"135959346","3180907718"
"135959346","3302619878"
"135959346","338065113"
"135959346","380523278"
"135959346","39372927"
"135959346","405108328"
"135959346","4515151"
"135959346","48117919"
"135959346","510646300"
"135959346","52123405"
"135959346","71074656"
"135959346","839235646921199616"
"135959346","846427416473944064"
"15579774","19809471"
"15579774","2254131619"
"15579774","27298118"
"15579774","510646300"
"15579774","846427416473944064"
"15579774","960353869"
"15731032","1154264445117325312"
"15731032","116630713"
"15731032","1179203722540273664"
"15731032","122517396"
"15731032","1304501724"
"15731032","1346564900160585728"
"15731032","17187138"
"15731032","1852171094"
"15731032","186894716"
"15731032","1926061039"
"15731032","218717865"
"15731032","25999985"
"15731032","3070271977"
"15731032","31354463"
"15731032","3378514300"
"15731032","400089150"
"15731032","43925013"
"15731032","4515151"
"15731032","510646300"
"15731032","69655048"
"15731032","826285384262774784"
"15731032","838396926"
"15731032","917551703578238976"
"15731032","923006765129613312"
"15731032","960353869"
"15731032","979864728737538048"
"15731032","999807846920241153"
"15754281","2303751216"
"15754281","2467791"
"15754281","51241574"
"15780295","102803242"
"15780295","1032744313044664320"
"15780295","114865774"
"15780295","1170012108"
"15780295","122517396"
"15780295","1265031758"
"15780295","135959346"
"15780295","193919217"
"15780295","19418459"
"15780295","19809471"
"15780295","198643896"
"15780295","20791157"
"15780295","219145686"
"15780295","2254131619"
"15780295","22803482"
"15780295","28450231"
"15780295","290184477"
"15780295","3167176103"
"15780295","3180907718"
"15780295","3302619878"
"15780295","380523278"
"15780295","39372927"
"15780295","405108328"
"15780295","4515151"
"15780295","48117919"
"15780295","508164075"
"15780295","510646300"
"15780295","51241574"
"15780295","52123405"
"15780295","71074656"
"15780295","846427416473944064"
"1606508916","116630713"
"1606508916","122517396"
"1606508916","1268264195570589696"
"1606508916","1304501724"
"1606508916","15780295"
"1606508916","165785792"
"1606508916","186894716"
"1606508916","1926061039"
"1606508916","196345500"
"1606508916","19809471"
"1606508916","218717865"
"1606508916","2303751216"
"1606508916","2420108113"
"1606508916","25999985"
"1606508916","262846232"
"1606508916","3070271977"
"1606508916","31354463"
"1606508916","400089150"
"1606508916","405108328"
"1606508916","4457167754"
"1606508916","4515151"
"1606508916","593542087"
"1606508916","69655048"
"1606508916","7459282"
"1606508916","748367306"
"1606508916","817200915065159681"
"1606508916","872858864215044096"
"1606508916","887129268"
"1606508916","923006765129613312"
"16196492","15754281"
"16196492","19418459"
"16196492","2303751216"
"16196492","2467791"
"16196492","510646300"
"16196492","51241574"
"165785792","1154264445117325312"
"165785792","1179203722540273664"
"165785792","1304501724"
"165785792","15731032"
"165785792","1606508916"
"165785792","1926061039"
"165785792","218717865"
"165785792","2303751216"
"165785792","2420108113"
"165785792","3070271977"
"165785792","31354463"
"165785792","400089150"
"165785792","593542087"
"165785792","69655048"
"165785792","7459282"
"165785792","872858864215044096"
"165785792","887129268"
"165785792","917551703578238976"
